molecule_chembl_id,type,standard_units,standard_value,smiles
CHEMBL66879,Ki,nM,1000000.0,O=C(O)/C=C/c1ccc(O)cc1
CHEMBL77085,Ki,nM,24000.0,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]
CHEMBL76979,Ki,nM,700000.0,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O
CHEMBL76904,Ki,nM,11000.0,N#CC(C#N)=Cc1ccc(O)c(O)c1
CHEMBL296407,Ki,nM,3500.0,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O
CHEMBL421877,Ki,nM,300000.0,COc1cc(C=C(C#N)C#N)cc(OC)c1O
CHEMBL77278,Ki,nM,1350000.0,Cc1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL310798,Ki,nM,1000.0,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1
CHEMBL76602,Ki,nM,308000.0,N#C/C(=C\c1ccc(O)cc1)C(=O)O
CHEMBL308134,Ki,nM,49000.0,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1
CHEMBL76557,Ki,nM,360000.0,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1
CHEMBL78174,Ki,nM,143000.0,N#CC(C#N)=Cc1ccc(C(=O)O)cc1
CHEMBL309598,Ki,nM,4500.0,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1
CHEMBL77387,Ki,nM,150000.0,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1
CHEMBL78184,Ki,nM,2500000.0,N#C/C(=C\c1ccc(F)cc1)C(=O)O
CHEMBL76985,Ki,nM,140000.0,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O
CHEMBL145,Ki,nM,400000.0,O=C(O)/C=C/c1ccc(O)c(O)c1
CHEMBL77197,Ki,nM,341000.0,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O
CHEMBL305695,Ki,nM,160000.0,N#CC(C#N)=Cc1ccc(O)cc1
CHEMBL311119,Ki,nM,20000.0,N#CC(C#N)=Cc1ccc(C=O)cc1
CHEMBL76905,Ki,nM,10000.0,N#CC(C#N)=Cc1cc(O)cc(O)c1
CHEMBL77524,Ki,nM,2500000.0,COc1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL307250,Ki,nM,800000.0,COc1cc(/C=C(\C#N)C(=O)O)ccc1O
CHEMBL80155,Ki,nM,2200.0,COc1cc(C=C(C#N)C#N)cc(O)c1O
CHEMBL77436,Ki,nM,1400000.0,CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL76642,Ki,nM,24000.0,N#C/C(=C/c1cc(O)ccc1O)C(=O)O
CHEMBL307248,Ki,nM,240000.0,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1
CHEMBL78005,Ki,nM,117000.0,N#CC(C#N)=Cc1ccc2c(c1)OCO2
CHEMBL77778,Ki,nM,150000.0,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1
CHEMBL77869,Ki,nM,67000.0,COc1cc(C=C(C#N)C#N)ccc1O
CHEMBL77030,Ki,nM,850.0,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S
CHEMBL78150,Ki,nM,155000.0,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O
CHEMBL307179,Ki,nM,55000.0,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O
CHEMBL310400,Ki,nM,123000.0,N#CC(C#N)=Cc1cccc(O)c1
CHEMBL73820,Ki,nM,70000.0,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O
CHEMBL77298,Ki,nM,50000.0,COc1cc(C=C(C#N)C#N)cc(Br)c1O
CHEMBL268868,Ki,nM,160.0,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21
CHEMBL342929,Ki,nM,2300.0,CNC(=O)c1c(SSc2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12
